Resource Name,Page URL,Server URL,Summary,Keywords
USMI Galaxy Demonstrator,https://galaxyproject.org/use/usmi-galaxy-demonstrator/,http://bioinformatics.hsanmartino.it:8080/,This Galaxy implementation is meant to demonstrate integration of microbial domain Biological Resource Center (mBRC) catalogues into the bioinformatics data integration environment.,Domain
VEuPathDB Galaxy,https://galaxyproject.org/use/veupathdb/,,"A free, interactive, web-based platform for large-scale data analysis focused on eukaryotic pathogens. Merges the former VectorBase and EuPathDB servers.",
Vinther Lab,https://galaxyproject.org/use/vinther-lab/,http://galaxy.bio.ku.dk/,RNA structure-probing data analysis to improve the prediction of RNA secondary and tertiary structure and allow structural changes to be identified and investigated.,
VINYL (Variant prIoritizatioN bY survivaL analysis),https://galaxyproject.org/use/vinyl/,http://www.beaconlab.it/VINYL,A flexible and fully automated system for the functional annotation and prioritization of genetic variants.,
Viral Variant Visualizer (VVV),https://galaxyproject.org/use/vvv/,https://viralvariant.anses.fr/,Determine the composition of a viral population,
VirAmp,https://galaxyproject.org/use/viramp/,http://viramp.com/,VirAmp is a web-based semi- de novo fast virus genome assembly pipeline designed for extremely high coverage NGS data.,
Virology,https://galaxyproject.org/use/virology/,https://virology.usegalaxy.eu/,"A comprehensive set of analysis tools and consolidated workflows for virology work, including SARS-CoV-2.","Tool Publishing, Tools"
Workflow4Metabolomics,https://galaxyproject.org/use/workflow4metabolomics/,https://workflow4metabolomics.usegalaxy.fr/,"A collaborative portal dedicated to metabolomics data processing, analysis and annotation.",
wQAP,https://galaxyproject.org/use/wqap/,http://life2cloud.com:6005/,"QAP is an open source software that can be used to analyze virus quasispecies using CBS, NGS and TGS data. wQAP (web QAP), is the online version of QAP.",
AnVIL,https://galaxyproject.org/use/anvil/,https://anvilproject.org/,Genomics,Genomics
CLIMB,https://galaxyproject.org/use/climb/,http://www.climb.ac.uk/,Genomics,Genomics
Globus Genomics,https://galaxyproject.org/use/globus-genomics/,http://globusgenomics.org/,Genomics,Genomics
Laniakea,https://galaxyproject.org/use/laniakea/,https://laniakea-dashboard.cloud.ba.infn.it/login,Genomics,Genomics
Nectar Cloud,https://galaxyproject.org/use/nectar/,https://nectar.org.au/research-cloud/,Genomics,Genomics
PhenoMeNal,https://galaxyproject.org/use/phenomenal/,https://portal.phenomenal-h2020.eu/cloud-research-environment-setup,Domain,Domain
SNIC Science Cloud (SSC),https://galaxyproject.org/use/snic-science-cloud/,https://cloud.snic.se/,Genomics,Genomics
SURF Research Cloud,https://galaxyproject.org/use/surf/,https://www.surf.nl/en/services/compute/surf-research-cloud,Genomics,Genomics
Terra,https://galaxyproject.org/use/terra/,https://terra.bio/,Genomics,Genomics
VEuPathDB Galaxy,https://galaxyproject.org/use/veupathdb/,https://veupathdb.org/veupathdb/app/galaxy-orientation,Domain,Domain
Free to use,,,Yes 1,
Uses your local compute infrastructure,,,No,
Datasets total > 250GB(including intermediate),,,Yes,
Computational requirements are similarly large,,,Yes,
Share Galaxy objects outside your organization,,,Yes,
Install custom tools and reference genomces,,,Yes 5,"Tool Publishing, Tools"
Have absolute data security requirements,,,? 5,
